record_type,record_id,category,normalized_category,lane_id,source_id,field,value,uncertainty,unit,denominator,statistic,evidence_grade,source_locator,ranking_eligible,verdict,notes
claim_audit,C15,AQEC,,,LACHANCE2024_AQEC,latency,,,,,,,protocol and supplement,False,N_A_NOT_ZERO,Classical decoder-response latency is N/A; the physical protocol contains finite-duration pulses and reset.
claim_audit,C16,AQEC,,,LACHANCE2024_AQEC,hardware cost,,,,,,,,False,NULL_CATEGORY_GENERALIZATION,FPGA resource columns are inapplicable to a reservoir-engineered physical protocol.
claim_audit,C17,CPD,,,LIN2023_CPD,performance,,,,,,,abstract/results,False,NULL_CATEGORY_GENERALIZATION,For one structured surface-GKP task the reported threshold is 0.602 versus 0.599 analog MWPM; this is not global potential.
claim_audit,C18,CPD,,,LIN2023_CPD,threshold,,,,,,,,False,NULL_UNSUPPORTED_MONOTONICITY,No universal monotone-in-mode threshold statement; preserve the exact code-family/noise metric.
claim_audit,C19,CPD,,,LIN2023_CPD,latency,,,,,,,complexity results,False,NULL_STRUCTURE_DEPENDENT,"Generic exact CPD can be exponential, but repetition-rectangular is linear and surface-GKP structured decoding is polynomial."
claim_audit,C20,CPD,,,LIN2023_CPD,drift adaptation/hardware,,,,,,,,False,NULL_CATEGORY_GENERALIZATION,No online-drift or normalized FPGA resource evidence in the source.
claim_audit,C21,Hybrid CNN-FPGA,,,PROJECT_T5_FAST_PATH,latency,222.22222222222223,,ns,,,,T6.8.6 project row,False,SCOPED_PROJECT_PREBOARD_ESTIMATE,"Only T5 core input-to-action at 27 MHz: six cycles, II 37.037 ns; source-to-action and closed-loop are null."
claim_audit,C22,Hybrid CNN-FPGA,,,PROJECT_V5_ROUTE_A,drift adaptation,,,,,,,T6.15.5,False,NEGATIVE_NOT_IMPLEMENTED,Route-A V5 stopped at headroom gate; no V5 adaptive formal/quantized/RTL result exists.
claim_audit,C23,Hybrid CNN-FPGA,,,PROJECT_T5_FAST_PATH,hardware cost,,,,,,,T6.8.6 project row,False,NULL_CATEGORY_GENERALIZATION,Concrete T5 resource counts are implementation-specific and cannot define the hybrid category.
claim_audit,C24,All,,,NOH2022_SURFACE_GKP;LIN2023_CPD;LACHANCE2024_AQEC;PROJECT_V5_ROUTE_A,global ranking,,,,,,,T6.16.1 registry,False,PROHIBITED_CROSS_LANE_RANKING,Use six task-signature lanes and N/A/null/negative states; no global score or winner.
